,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
255,MT : This is a very interesting point.,"MT : but also the recognition in Germany of their responsibility for the Holocaust is much, much more unambiguous",This is a very interesting point.,"the recognition in Germany of their responsibility for the Holocaust is much, much more unambiguous",RA,nodeset6103,29653,29666,112923,True,MT,MT,MT
256,MT : and I think that's a hang up Britain has got,"MT : When you see these cases, there is still a strong feeling of saying, it wasn't so bad after all",that's a hang up Britain has got,"When you see these cases, there is still a strong feeling of saying, it wasn't so bad after all",RA,nodeset6103,29686,29692,112936,False,MT,MT,MT
257,MP : Nothing good happened under Nazism,MP : It was in essence a tyranny,Nothing good happened under Nazism,It was in essence a tyranny,RA,nodeset6103,29742,29748,112949,False,MP,MP,MP
258,MT : I think what was interesting tonight is when you hear Lawrence James who I think was the second witness,MT : he doesn't really like this case,what was interesting tonight is when you hear Lawrence James who was the second witness,Lawrence James doesn't really like this case,Default Inference,nodeset6103,112952,112926,112957,False,MT,MT,MT
259,MT : I think what was interesting tonight is when you hear Lawrence James who I think was the second witness,MT : because he wants to muddy the waters,what was interesting tonight is when you hear Lawrence James who was the second witness,Lawrence James wants to muddy the waters,Default Inference,nodeset6103,112952,112928,112960,False,MT,MT,MT
260,MT : because he wants to muddy the waters,"MT : He wants to say, well, there was good and bad",Lawrence James wants to muddy the waters,LJ : there was good and bad,Default Inference,nodeset6103,112928,29680,112962,False,MT,MT,MT
261,Esther : The reason we need these case assist because of that ambiguity,MP : The difference is that this was an aberration,The reason we need these case assist because of that ambiguity,The difference is that this was an aberration,Default Conflict,nodeset6103,112965,29704,112974,False,Esther,MP,MP
262,LJ : nothing horrible was done under the Empire,MP : I wouldn't go as far as Lawrence James went,nothing horrible was done under the Empire,MP wouldn't go as far as Lawrence James went,Default Conflict,nodeset6103,112988,112976,112998,False,LJ,MP,LJ
263,MP : I wouldn't go as far as Lawrence James went,MP : I think a lot of bad things were done under the Empire,MP wouldn't go as far as Lawrence James went,a lot of bad things were done under the Empire,Default Inference,nodeset6103,112976,29718,113001,False,MP,MP,MP
264,MP : but basically bad things done under the Empire were an aberration,MP : The Empire brought a lot of good things,bad things done under the Empire were an aberration,The Empire brought a lot of good things,Default Inference,nodeset6103,112941,29727,113006,True,MP,MP,MP
265,MP : but basically bad things done under the Empire were an aberration,MP : colonialism brought a lot of good things,bad things done under the Empire were an aberration,colonialism brought a lot of good things,Default Inference,nodeset6103,112941,29730,113006,True,MP,MP,MP
266,MP : that's the great difference between the Empire and Nazism,MP : Nothing good happened under Nazism,that's the great difference between the Empire and Nazism,Nothing good happened under Nazism,Default Inference,nodeset6103,29736,29742,113010,False,MP,MP,MP
267,"MP : therefore the country was responsible for what happened in a way that Britain is not responsible, collectively, in the same way, for what happened to these people.",MP : It was in essence a tyranny,"the country was responsible for what happened in a way that Britain is not responsible, collectively, in the same way, for what happened to these people.",It was in essence a tyranny,Default Inference,nodeset6103,29754,29748,113013,False,MP,MP,MP
268,MT :  and they should be tried,MT : and I think that goes to the point that actually this is why these cases are significant,they should be tried,that goes to the point that actually this is why these cases are significant,RA,nodeset6120,29882,29876,113229,False,MT,MT,MT
269,MT :  and they should be tried,MT : because they take us to questions we have still got to resolve.,they should be tried,they take us to questions we have still got to resolve.,RA,nodeset6120,29882,29888,113233,False,MT,MT,MT
270,AM : Was anyone remotely convinced by Lee Jasper's argument that this would help black Britons today?,"AM : There are problems in the education system, problems of underperformance, problems in the employment market",AM wasn't remotely convinced by Lee Jasper's argument that this would help black Britons today,"There are problems in the education system, problems of underperformance, problems in the employment market",RA,nodeset6120,29897,29901,113238,True,AM,AM,AM
271,AM : Was anyone remotely convinced by Lee Jasper's argument that this would help black Britons today?,"AM : and the idea that having some sort of moment which would really be about disinterring the past is going to be remotely helpful is, I think, beyond credibility.",AM wasn't remotely convinced by Lee Jasper's argument that this would help black Britons today,the idea that having some sort of moment which would really be about disinterring the past is going to be remotely helpful is beyond credibility.,RA,nodeset6120,29897,113239,113238,True,AM,AM,AM
272,MT : so this is a live debate,"MT : there has been a revisionist itself to say, let's rebalance this, actually the Empire wasn't so bad",this is a live debate,A revisionist :  actually the Empire wasn't so bad,Default Inference,nodeset6120,29870,113246,113252,False,MT,MT,MT
273,MT : so this is a live debate,MT : and I think that goes to the point that actually this is why these cases are significant,this is a live debate,that goes to the point that actually this is why these cases are significant,Default Inference,nodeset6120,29870,29876,113254,False,MT,MT,MT
